Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:07:00,-2654.585938,1165.667236,1332.742065,-0.164561,0.657519,0.708409,0.196838,2.9,28.0
1900-01-01T21:07:01,-2538.256104,1173.948364,1290.840210,-0.148330,0.668582,0.707528,0.174359,2.59,42.0
1900-01-01T21:07:02,-2444.867432,1242.236694,1267.168579,-0.163904,0.677035,0.697856,0.166601,4.28,47.0
1900-01-01T21:07:03,-2389.129150,1234.788330,1266.893921,-0.133802,0.688122,0.698405,0.144276,3.36,40.0
1900-01-01T21:07:04,-2356.932373,1134.412354,1271.781616,-0.079338,0.672676,0.720307,0.149566,3.54,38.0
1900-01-01T21:07:05,-2315.941895,1115.372803,1221.668213,-0.111081,0.662985,0.719833,0.173066,3.27,36.0
1900-01-01T21:07:06,-2360.058350,1144.639526,1072.333862,-0.151497,0.656746,0.711210,0.199783,3.38,43.0
1900-01-01T21:07:07,-2411.940430,1170.136841,964.481628,-0.171052,0.660250,0.705733,0.191707,2.53,44.0
1900-01-01T21:07:08,-2311.688232,1156.357422,839.586914,-0.187752,0.651522,0.702422,0.216500,3.72,43.0
1900-01-01T21:07:09,-2198.078613,1154.848877,823.254639,-0.157811,0.651653,0.718606,0.184524,2.99,41.0
1900-01-01T21:07:10,-2109.675049,1164.740356,901.585327,-0.128403,0.666838,0.717559,0.154755,4.01,49.0
1900-01-01T21:07:11,-1958.385132,1148.684082,835.554138,-0.174610,0.650764,0.712074,0.197407,1.81,39.0
1900-01-01T21:07:12,-1793.481201,1146.688843,787.644409,-0.118136,0.663232,0.722223,0.156723,0.9,63.0
1900-01-01T21:07:13,-1706.619385,1221.195312,827.140747,-0.087012,0.683834,0.716764,0.105116,0.23,118.0
1900-01-01T21:07:14,-1829.831909,1297.584839,919.800964,-0.148999,0.695427,0.688329,0.142773,2.42,54.0
1900-01-01T21:07:15,-1904.801025,1233.660034,921.054932,-0.189397,0.680023,0.684117,0.183524,4.43,45.0
1900-01-01T21:07:16,-1695.879028,1154.213013,806.167969,-0.163064,0.671377,0.697179,0.191322,3.68,46.0
1900-01-01T21:07:17,-1480.725952,1155.951294,732.637878,-0.148608,0.674508,0.707090,0.151585,4.68,46.0
1900-01-01T21:07:18,-1329.595459,1137.352051,842.884644,-0.131098,0.670584,0.712478,0.159704,3.26,49.0
1900-01-01T21:07:19,-1226.469849,1159.222900,1010.226501,-0.183368,0.660741,0.698315,0.205316,3.58,43.0
1900-01-01T21:07:20,-1211.744507,1154.995728,952.949219,-0.173098,0.655352,0.699204,0.227301,3.3,42.0
